finalizer,interaction,sender_feedback_format,artifact_format,unconditional_coverage,timely_safe_world_coverage,selective_risk,false_safe_rate,harmful_acceptance_probability,expected_evidence_payload_bytes,expected_evidence_payload_kib,mean_safe_world_evidence_traffic_bytes,mean_safe_world_evidence_traffic_kib,p95_action_ready_latency_ms,local_reuse_probability,deadline_caused_abstention_probability,evidence_insufficient_abstention_probability,expired_evidence_abstention_probability,transport_abstention_probability,safe_world_reject_probability,safe_world_abstention_probability,finalization_failure_probability,unconstrained_safe_accept_probability,logical_message_count
sender,one_way,reference_manifest,reference_manifest,0.5284675285560001,0.6366131739000039,0.024241522903033896,0.06742556682631531,0.012810857696999996,10036.224000000031,9.80100000000003,10036.224000000064,9.801000000000062,11.40112,0.0,0.0,0.18669520000000106,0.0,0.0064304361000000485,0.17026119000000103,0.19312563610000125,0.0,0.6366131739000039,1
sender,feedback,reference_manifest,reference_manifest,0.5115928239419154,0.6274138710312969,0.006621649577619159,0.01782941266614713,0.003387588406567977,8654.465501386492,8.451626466197746,9130.639697910585,8.916640329990805,11.90112,0.10094520341855498,0.0,0.056490171887713596,0.0,0.006337513848800988,0.3097584432321961,0.06282768573651457,0.0,0.6274138710312969,2
receiver,one_way,reference_manifest,reference_manifest,0.511422372380157,0.6273209487800978,0.006437739227085344,0.017328441412004014,0.0032924038682807847,10036.224000000031,9.80100000000003,10036.224000000064,9.801000000000062,11.40112,0.6228022286834323,0.0,0.056490171887713575,0.0,0.006430436100000047,0.3097584432321959,0.06292060798771361,0.0,0.6273209487800978,1
receiver,feedback,reference_manifest,reference_manifest,0.511422372380157,0.6273209487800978,0.006437739227085344,0.017328441412004014,0.0032924038682807847,3394.125253094383,3.3145754424749834,2666.224020556808,2.6037343950750076,11.8192,0.6228022286834323,0.0,0.056490171887713575,0.0,0.006430436100000047,0.3097584432321959,0.06292060798771361,0.0,0.6273209487800978,2
