finalizer,fixed_per_message_latency_ms,decision_deadline_ms,feedback_minus_one_way_timely_coverage_pp,one_way_timely_coverage,feedback_timely_coverage,one_way_false_safe_rate,feedback_false_safe_rate,feedback_deadline_caused_abstention_probability,both_zero_timely_coverage,feedback_evidence_traffic_saving_percent,baseline_operating_point
sender,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,0.0,14.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,0.5,14.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,1.0,14.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,2.0,14.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.6268308925172942,False,13.76771282320457,False
sender,3.0,14.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.0,False,13.76771282320457,False
sender,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,0.0,15.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,0.5,15.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,1.0,15.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,2.0,15.0,-0.9782281382705871,0.6366131739,0.6268308925172942,0.06742556682631577,0.01751917263822969,0.0,False,13.76771282320457,False
sender,3.0,15.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.0,False,13.76771282320457,False
sender,4.0,15.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.0,False,13.76771282320457,False
sender,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,0.0,16.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,0.5,16.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,1.0,16.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,2.0,16.0,-0.9782281382705871,0.6366131739,0.6268308925172942,0.06742556682631577,0.01751917263822969,0.0,False,13.76771282320457,False
sender,3.0,16.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.0,False,13.76771282320457,False
sender,4.0,16.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.0,False,13.76771282320457,False
sender,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,0.0,17.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,0.5,17.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,1.0,17.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,2.0,17.0,-0.9782281382705871,0.6366131739,0.6268308925172942,0.06742556682631577,0.01751917263822969,0.0,False,13.76771282320457,False
sender,3.0,17.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.0,False,13.76771282320457,False
sender,4.0,17.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.0,False,13.76771282320457,False
sender,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,0.0,18.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,0.5,18.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,1.0,18.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,2.0,18.0,-0.9782281382705871,0.6366131739,0.6268308925172942,0.06742556682631577,0.01751917263822969,0.0,False,13.76771282320457,False
sender,3.0,18.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.0,False,13.76771282320457,False
sender,4.0,18.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.0,False,13.76771282320457,False
sender,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,11.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,0.0,19.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,0.5,19.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,1.0,19.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,2.0,19.0,-0.9782281382705871,0.6366131739,0.6268308925172942,0.06742556682631577,0.01751917263822969,0.0,False,13.76771282320457,False
sender,3.0,19.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.0,False,13.76771282320457,False
sender,4.0,19.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.0,False,13.76771282320457,False
sender,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,0.0,20.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,0.5,20.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,1.0,20.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,2.0,20.0,-0.9782281382705871,0.6366131739,0.6268308925172942,0.06742556682631577,0.01751917263822969,0.0,False,13.76771282320457,False
sender,3.0,20.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.0,False,13.76771282320457,False
sender,4.0,20.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.0,False,13.76771282320457,False
sender,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,0.0,21.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,0.5,21.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,1.0,21.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,2.0,21.0,-0.9782281382705871,0.6366131739,0.6268308925172942,0.06742556682631577,0.01751917263822969,0.0,False,13.76771282320457,False
sender,3.0,21.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.0,False,13.76771282320457,False
sender,4.0,21.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.0,False,13.76771282320457,False
sender,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,13.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13.76771282320457,False
sender,0.0,22.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,0.5,22.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,1.0,22.0,-0.919930286870696,0.6366131739,0.6274138710312931,0.06742556682631577,0.017829412666147248,0.0,False,13.76771282320457,False
sender,2.0,22.0,-0.9782281382705871,0.6366131739,0.6268308925172942,0.06742556682631577,0.01751917263822969,0.0,False,13.76771282320457,False
sender,3.0,22.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.0,False,13.76771282320457,False
sender,4.0,22.0,-63.66131739000001,0.6366131739,0.0,0.06742556682631577,0.0,0.0,False,13.76771282320457,False
