parameter,value,finalizer,interaction,sender_feedback_format,artifact_format,unconditional_coverage,timely_safe_world_coverage,selective_risk,false_safe_rate,harmful_acceptance_probability,expected_evidence_payload_bytes,expected_evidence_payload_kib,mean_safe_world_evidence_traffic_bytes,mean_safe_world_evidence_traffic_kib,p95_action_ready_latency_ms,local_reuse_probability,deadline_caused_abstention_probability,evidence_insufficient_abstention_probability,expired_evidence_abstention_probability,transport_abstention_probability,safe_world_reject_probability,safe_world_abstention_probability,finalization_failure_probability,unconstrained_safe_accept_probability,logical_message_count
evidence_availability,0.5,sender,one_way,reference_manifest,reference_manifest,0.16310726190000005,0.19648554750000055,0.024241522903033906,0.02081036013157891,0.003953968425000001,5575.679999999995,5.444999999999995,5575.680000000019,5.445000000000019,11.40112,0.0,0.0,0.7049800000000022,0.0,0.0019847025000000063,0.0965497500000003,0.7069647025000022,0.0,0.19648554750000055,1
evidence_availability,0.5,sender,feedback,reference_manifest,reference_manifest,0.28015453581844296,0.3405768261021649,0.015303363421067417,0.022564771977316173,0.004287306675690081,5324.826055298211,5.200025444627159,5542.954144417912,5.413041156658117,11.90112,0.16741848873145473,0.0,0.4741737796931654,0.0,0.003440169960627932,0.18180922424404442,0.47761394965379333,0.0,0.3405768261021649,2
evidence_availability,0.5,receiver,one_way,reference_manifest,reference_manifest,0.2813368315145889,0.3420322935627928,0.015251020300571136,0.022582493309091307,0.004290673728727356,5575.679999999995,5.444999999999995,5575.680000000019,5.445000000000019,11.40112,0.3134728122249998,0.0,0.47417377969316543,0.0,0.0019847025000000063,0.18180922424404447,0.4761584821931655,0.0,0.3420322935627928,1
evidence_availability,0.5,receiver,feedback,reference_manifest,reference_manifest,0.2813368315145889,0.3420322935627928,0.015251020300571136,0.022582493309091307,0.004290673728727356,3082.399689600004,3.010155946875004,2809.16349120001,2.7433237218750097,11.90112,0.3134728122249998,0.0,0.47417377969316543,0.0,0.0019847025000000063,0.18180922424404447,0.4761584821931655,0.0,0.3420322935627928,2
evidence_availability,0.6,sender,one_way,reference_manifest,reference_manifest,0.23487445713600005,0.28293918839999976,0.024241522903033885,0.029966918589473673,0.005693714531999996,6690.816000000006,6.534000000000006,6690.816000000014,6.534000000000014,11.40112,0.0,0.0,0.5989311999999999,0.0,0.0028579715999999997,0.11527163999999974,0.6017891715999998,0.0,0.28293918839999976,1
evidence_availability,0.6,sender,feedback,reference_manifest,reference_manifest,0.354674234539883,0.4319299505084976,0.013564488647563804,0.025320919094734877,0.004810974627999625,6341.626245034722,6.192994379916721,6638.476161685141,6.482886876645646,11.90112,0.18646875540894525,0.0,0.34850171618488673,0.0,0.00436292879301513,0.21520540451359932,0.3528646449779019,0.0,0.4319299505084976,2
evidence_availability,0.6,receiver,one_way,reference_manifest,reference_manifest,0.35588433330153835,0.43343490770151266,0.01349331120806602,0.02527398980690922,0.0048020580633127505,6690.816000000006,6.534000000000006,6690.816000000014,6.534000000000014,11.40112,0.4067681721340012,0.0,0.34850171618488673,0.0,0.0028579715999999997,0.21520540451359937,0.3513596877848866,0.0,0.43343490770151266,1
evidence_availability,0.6,receiver,feedback,reference_manifest,reference_manifest,0.35588433330153835,0.43343490770151266,0.01349331120806602,0.02527398980690922,0.0048020580633127505,3339.847262822392,3.2615695925999924,2972.617812172801,2.902947082200001,11.90112,0.4067681721340012,0.0,0.34850171618488673,0.0,0.0028579715999999997,0.21520540451359937,0.3513596877848866,0.0,0.43343490770151266,2
evidence_availability,0.7,sender,one_way,reference_manifest,reference_manifest,0.31969023332400004,0.3851116731000009,0.024241522903033903,0.04078830585789461,0.007749778112999999,7805.952000000009,7.623000000000009,7805.952000000019,7.623000000000019,11.40112,0.0,0.0,0.4772008000000004,0.0,0.003890016900000013,0.13379751000000029,0.48109081690000033,0.0,0.3851116731000009,1
evidence_availability,0.7,sender,feedback,reference_manifest,reference_manifest,0.42069695662082823,0.513365360685371,0.011578439988737272,0.025636918240413965,0.004871014465678667,7257.867094140739,7.0877608341218155,7628.548779968542,7.449754667938029,11.90112,0.18451374367321424,0.0,0.2337976029631865,0.0,0.005185508693791634,0.24765152765765372,0.23898311165697808,0.0,0.513365360685371,2
evidence_availability,0.7,receiver,one_way,reference_manifest,reference_manifest,0.42171722655311944,0.5146608524791626,0.01148147559580131,0.025483873921045466,0.004841936044998653,7805.952000000009,7.623000000000009,7805.952000000019,7.623000000000019,11.40112,0.49379836629867335,0.0,0.2337976029631865,0.0,0.003890016900000013,0.2476515276576538,0.23768761986318648,0.0,0.5146608524791626,1
evidence_availability,0.7,receiver,feedback,reference_manifest,reference_manifest,0.42171722655311944,0.5146608524791626,0.01148147559580131,0.025483873921045466,0.004841936044998653,3477.6173811456106,3.3961107237750103,3003.2793407232116,2.9328899811750113,11.8192,0.49379836629867335,0.0,0.2337976029631865,0.0,0.003890016900000013,0.2476515276576538,0.23768761986318648,0.0,0.5146608524791626,2
evidence_availability,0.8,sender,one_way,reference_manifest,reference_manifest,0.4175545904640002,0.5030030015999987,0.024241522903033903,0.05327452193684206,0.010122159168000001,8921.088000000012,8.712000000000012,8921.087999999967,8.711999999999968,11.40112,0.0,0.0,0.33978879999999895,0.0,0.0050808383999999904,0.15212735999999955,0.344869638399999,0.0,0.5030030015999987,1
evidence_availability,0.8,sender,feedback,reference_manifest,reference_manifest,0.47404491192874404,0.5798043384685502,0.009288988571358953,0.023175777732720844,0.004403397769216965,8039.701193606505,7.851270696881352,8472.423347065493,8.273850924868645,11.90112,0.157083930575366,0.0,0.1351752161141149,0.0,0.005856609479480307,0.27916383593785216,0.1410318255935952,0.0,0.5798043384685502,2
evidence_availability,0.8,receiver,one_way,reference_manifest,reference_manifest,0.4746155212364687,0.5805801095480304,0.00915611122712832,0.022871750013487298,0.004345632502562591,8921.088000000012,8.712000000000012,8921.087999999967,8.711999999999968,11.40112,0.5679435423910849,0.0,0.13517521611411493,0.0,0.0050808383999999904,0.2791638359378522,0.1402560545141149,0.0,0.5805801095480304,1
evidence_availability,0.8,receiver,feedback,reference_manifest,reference_manifest,0.4746155212364687,0.5805801095480304,0.00915611122712832,0.022871750013487298,0.004345632502562591,3495.7100445695964,3.4137793403999965,2901.148076851185,2.8331524187999855,11.8192,0.5679435423910849,0.0,0.13517521611411493,0.0,0.0050808383999999904,0.2791638359378522,0.1402560545141149,0.0,0.5805801095480304,2
evidence_availability,0.85,sender,one_way,reference_manifest,reference_manifest,0.471379986891,0.5678432322749993,0.024241522903033903,0.060141940780263345,0.011426968748249998,9478.656000000017,9.256500000000017,9478.655999999975,9.256499999999976,11.40112,0.0,0.0,0.2652022000000001,0.0,0.005735790224999998,0.16121877749999983,0.2709379902250001,0.0,0.5678432322749993,1
