finalizer,fixed_per_message_latency_ms,decision_deadline_ms,feedback_only_timely_gain_probability,one_way_only_timely_loss_probability,common_timely_accept_probability,neither_timely_accept_probability,feedback_minus_one_way_coverage_pp,probability_partition_sum,baseline_operating_point
sender,0.0,33.0,0.10094520341855436,0.1101445062872615,0.5264686676127388,0.26244162268144755,-0.919930286870714,1.0000000000000022,False
sender,0.5,33.0,0.10094520341855436,0.1101445062872615,0.5264686676127388,0.26244162268144755,-0.919930286870714,1.0000000000000022,True
sender,1.0,33.0,0.10094520341855436,0.1101445062872615,0.5264686676127388,0.26244162268144755,-0.919930286870714,1.0000000000000022,False
sender,2.0,33.0,0.10094520341855436,0.11072748480126042,0.5258856890987398,0.26244162268144755,-0.9782281382706065,1.0000000000000022,False
sender,3.0,33.0,0.0,0.6366131739,0.0,0.3633868261000016,-63.66131739000001,1.0000000000000018,False
sender,4.0,33.0,0.0,0.6366131739,0.0,0.3633868261000016,-63.66131739000001,1.0000000000000018,False
sender,5.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
sender,6.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
sender,7.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
sender,8.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
sender,9.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
sender,10.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
sender,11.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
sender,12.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
sender,13.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
sender,14.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
sender,15.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
receiver,0.0,33.0,0.0,0.0,0.6273209487800939,0.37267905121990796,0.0,1.0000000000000018,False
receiver,0.5,33.0,0.0,0.0,0.6273209487800939,0.37267905121990796,0.0,1.0000000000000018,True
receiver,1.0,33.0,0.0,0.0,0.6273209487800939,0.37267905121990796,0.0,1.0000000000000018,False
receiver,2.0,33.0,0.0,0.0,0.6273209487800939,0.37267905121990796,0.0,1.0000000000000018,False
receiver,3.0,33.0,0.0,0.6273209487800939,0.0,0.37267905121990796,-62.73209487800939,1.0000000000000018,False
receiver,4.0,33.0,0.0,0.6273209487800939,0.0,0.37267905121990796,-62.73209487800939,1.0000000000000018,False
receiver,5.0,33.0,0.0,0.004518720096665569,0.0,0.9954812799033285,-0.45187200966655694,0.999999999999994,False
receiver,6.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
receiver,7.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
receiver,8.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
receiver,9.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
receiver,10.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
receiver,11.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
receiver,12.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
receiver,13.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
receiver,14.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
receiver,15.0,33.0,0.0,0.0,0.0,0.9999999999999938,0.0,0.9999999999999938,False
