finalizer,interaction,largest_coverage_driver,coverage_change_pp_per_plus_10_percent,largest_traffic_driver,traffic_change_percent_per_plus_10_percent
sender,one_way,evidence_availability,12.732263477999918,conditional_validity,10.000000000000304
sender,feedback,forward_delivery_success,6.274138710313065,visual_record_kib,9.090909090909186
receiver,one_way,forward_delivery_success,6.273209487801067,conditional_validity,10.000000000000304
receiver,feedback,forward_delivery_success,6.273209487801067,reverse_delivery_success,-27.64208829648166
