finalizer,receiver_evidence_availability,visual_record_kib,feedback_evidence_traffic_saving_percent,one_way_timely_coverage,feedback_timely_coverage,feedback_false_safe_rate,feedback_local_reuse_probability,baseline_operating_point
sender,0.4,2,32.59569510217818,0.6366131739000016,0.5925215657697807,0.04019260890973147,0.009718078767630358,False
sender,0.5,2,29.378526121630408,0.6366131739000005,0.5940960374610075,0.035174636563693205,0.023264494834549926,False
sender,0.6,2,25.9275947978235,0.6366131738999995,0.5979095579860181,0.030408693490787946,0.03872757277671777,False
sender,0.7,2,22.230984692419998,0.6366131739000007,0.6041324419303213,0.025885351834207673,0.05627095408099208,False
sender,0.75,2,20.27615774704134,0.6366131738999963,0.6083092343255289,0.02372331243436285,0.06597370119074668,False
sender,0.8,2,18.233940664923654,0.6366131738999987,0.6133722792884085,0.02164125337899161,0.07646024841426655,False
sender,0.9,2,13.767712823204267,0.6366131739000039,0.6274138710312969,0.01782941266614713,0.10094520341855498,False
sender,0.95,2,11.173374454027755,0.636613173899997,0.638160814117002,0.016269197176207912,0.11657355125245239,False
sender,0.4,5,32.59569510217808,0.6366131739000016,0.5925215657697807,0.04019260890973147,0.009718078767630358,False
sender,0.5,5,29.37852612163025,0.6366131739000005,0.5940960374610075,0.035174636563693205,0.023264494834549926,False
sender,0.6,5,25.927594797823495,0.6366131738999995,0.5979095579860181,0.030408693490787946,0.03872757277671777,False
sender,0.7,5,22.230984692420243,0.6366131739000007,0.6041324419303213,0.025885351834207673,0.05627095408099208,False
sender,0.75,5,20.276157747041047,0.6366131738999963,0.6083092343255289,0.02372331243436285,0.06597370119074668,False
sender,0.8,5,18.233940664923416,0.6366131738999987,0.6133722792884085,0.02164125337899161,0.07646024841426655,False
sender,0.9,5,13.767712823204285,0.6366131739000039,0.6274138710312969,0.01782941266614713,0.10094520341855498,False
sender,0.95,5,11.173374454027961,0.636613173899997,0.638160814117002,0.016269197176207912,0.11657355125245239,False
sender,0.4,10,32.59569510217815,0.6366131739000016,0.5925215657697807,0.04019260890973147,0.009718078767630358,False
sender,0.5,10,29.37852612163012,0.6366131739000005,0.5940960374610075,0.035174636563693205,0.023264494834549926,False
sender,0.6,10,25.927594797823563,0.6366131738999995,0.5979095579860181,0.030408693490787946,0.03872757277671777,False
sender,0.7,10,22.230984692420243,0.6366131739000007,0.6041324419303213,0.025885351834207673,0.05627095408099208,False
sender,0.75,10,20.27615774704122,0.6366131738999963,0.6083092343255289,0.02372331243436285,0.06597370119074668,False
sender,0.8,10,18.233940664923562,0.6366131738999987,0.6133722792884085,0.02164125337899161,0.07646024841426655,False
sender,0.9,10,13.76771282320457,0.6366131739000039,0.6274138710312969,0.01782941266614713,0.10094520341855498,True
sender,0.95,10,11.173374454027623,0.636613173899997,0.638160814117002,0.016269197176207912,0.11657355125245239,False
sender,0.4,20,32.59569510217824,0.6366131739000016,0.5925215657697807,0.04019260890973147,0.009718078767630358,False
sender,0.5,20,29.378526121630358,0.6366131739000005,0.5940960374610075,0.035174636563693205,0.023264494834549926,False
sender,0.6,20,25.927594797823385,0.6366131738999995,0.5979095579860181,0.030408693490787946,0.03872757277671777,False
sender,0.7,20,22.230984692420172,0.6366131739000007,0.6041324419303213,0.025885351834207673,0.05627095408099208,False
sender,0.75,20,20.27615774704132,0.6366131738999963,0.6083092343255289,0.02372331243436285,0.06597370119074668,False
sender,0.8,20,18.233940664923686,0.6366131738999987,0.6133722792884085,0.02164125337899161,0.07646024841426655,False
sender,0.9,20,13.767712823204214,0.6366131739000039,0.6274138710312969,0.01782941266614713,0.10094520341855498,False
sender,0.95,20,11.173374454027828,0.636613173899997,0.638160814117002,0.016269197176207912,0.11657355125245239,False
sender,0.4,32,32.59569510217797,0.6366131739000016,0.592243737225163,0.040044758631601625,0.009718078767630358,False
sender,0.5,32,29.378526121630472,0.6366131739000005,0.5937546536465036,0.03499296447527301,0.023264494834549926,False
sender,0.6,32,25.927594797823545,0.6366131738999995,0.5975056800329682,0.03019376428770295,0.03872757277671777,False
sender,0.7,32,22.23098469242034,0.6366131739000007,0.6036672010443319,0.025637767503067024,0.05627095408099208,False
sender,0.75,32,20.27615774704154,0.6366131738999963,0.6078138069626926,0.023459663954724857,0.06597370119074668,False
sender,0.8,32,18.233940664923704,0.6366131738999987,0.6128470734199412,0.021361757858345164,0.07646024841426655,False
sender,0.9,32,13.767712823204675,0.6366131739000039,0.626830892517298,0.017519172638229573,0.10094520341855498,False
sender,0.95,32,11.173374454027458,0.636613173899997,0.637550632830423,0.015944480819022614,0.11657355125245239,False
receiver,0.4,2,31.53982629123059,0.5920761959906875,0.5920761959906875,0.03991752852673568,0.3898711278475008,False
receiver,0.5,2,38.75478750000007,0.5936665714363712,0.5936665714363712,0.03484886959134348,0.45675395601641816,False
receiver,0.6,2,45.84928629123053,0.5975186123707252,0.5975186123707252,0.030034785679317964,0.5124344745537887,False
receiver,0.7,2,52.81536765016416,0.6038043537286076,0.6038043537286076,0.02546575370297426,0.5576720048113867,False
receiver,0.75,2,56.2422158071743,0.6080233359459887,0.6080233359459887,0.023281875521312816,0.5767116476822667,False
receiver,0.8,2,59.622749999999975,0.6131375227771806,0.6131375227771806,0.021178785566392383,0.5936412443264931,False
receiver,0.9,2,66.18125249999983,0.6273209487800978,0.6273209487800978,0.017328441412004014,0.6228022286834323,False
receiver,0.95,2,69.26938270993001,0.6381764468464666,0.6381764468464666,0.01575246616964117,0.6370790069944581,False
receiver,0.4,5,31.539826291230472,0.5920761959906875,0.5920761959906875,0.03991752852673568,0.3898711278475008,False
receiver,0.5,5,38.754787500000056,0.5936665714363712,0.5936665714363712,0.03484886959134348,0.45675395601641816,False
receiver,0.6,5,45.84928629123047,0.5975186123707252,0.5975186123707252,0.030034785679317964,0.5124344745537887,False
receiver,0.7,5,52.81536765016419,0.6038043537286076,0.6038043537286076,0.02546575370297426,0.5576720048113867,False
receiver,0.75,5,56.2422158071741,0.6080233359459887,0.6080233359459887,0.023281875521312816,0.5767116476822667,False
receiver,0.8,5,59.622749999999805,0.6131375227771806,0.6131375227771806,0.021178785566392383,0.5936412443264931,False
receiver,0.9,5,66.18125249999997,0.6273209487800978,0.6273209487800978,0.017328441412004014,0.6228022286834323,False
