quantity,value,interpretation
$D/\delta$,66.0,deadline in fixed-message-latency units
$8(B_V+B_R)/(RD)$,0.027306666666666667,full evidence serialization as a deadline fraction
$T_p/D$,0.30303030303030304,common processing as a deadline fraction
