parameter,value,evidence_assembly,required_evidence_set,interaction,artifact_format,finalizer,finalizer_available_probability,handoff_required,handoff_success_probability,handoff_delay_ms,handoff_control_bytes,unconditional_coverage,timely_safe_world_coverage,selective_risk,false_safe_rate,finalization_failure_probability,expired_evidence_abstention_probability,deadline_abstention_probability,other_evidence_abstention_probability,mean_safe_world_total_traffic_kib,p95_action_ready_latency_ms
receiver_finalizer_availability,0.9,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.9,True,0.98,1.0,64,0.46610836018639223,0.5614928193798002,0.024241522903033882,0.059469349940810545,0.07512035452020001,0.0,0.0,0.19312563610000005,9.840788323368752,12.40112
receiver_finalizer_availability,0.9,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,True,0.98,1.0,64,0.498687955307891,0.6117006571554695,0.00643773922708534,0.01689696322084523,0.015620291624624357,0.0,0.0,0.06292060798771322,9.840207559298761,12.40112
receiver_finalizer_availability,0.9,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.9,False,1.0,0.0,0,0.4602801351421415,0.5645888539020848,0.0064377392270853415,0.015595597270803733,0.06273209487800936,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
receiver_finalizer_availability,0.95,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,False,1.0,0.0,0,0.5258251909132202,0.6334301080305001,0.0242415229030339,0.06708843899218427,0.0031830658695000025,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
receiver_finalizer_availability,0.95,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.95,True,0.98,1.0,64,0.4920032690856361,0.5926868649009,0.0242415229030339,0.06277320271530004,0.04392630899910005,0.0,0.0,0.19312563610000005,9.840788323368752,12.40112
receiver_finalizer_availability,0.95,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,True,0.98,1.0,64,0.498687955307891,0.6117006571554695,0.00643773922708534,0.01689696322084523,0.015620291624624357,0.0,0.0,0.06292060798771322,9.840207559298761,12.40112
receiver_finalizer_availability,0.95,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.95,False,1.0,0.0,0,0.4858512537611492,0.5959549013410893,0.006437739227085342,0.016462019341403938,0.03136604743900472,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
receiver_finalizer_availability,0.98,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,False,1.0,0.0,0,0.5258251909132202,0.6334301080305001,0.0242415229030339,0.06708843899218427,0.0031830658695000025,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
receiver_finalizer_availability,0.98,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.98,True,0.98,1.0,64,0.5075402144251825,0.61140329221356,0.0242415229030339,0.06475551437999373,0.02520988168644006,0.0,0.0,0.19312563610000005,9.840788323368752,12.40112
receiver_finalizer_availability,0.98,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,True,0.98,1.0,64,0.498687955307891,0.6117006571554695,0.00643773922708534,0.01689696322084523,0.015620291624624357,0.0,0.0,0.06292060798771322,9.840207559298761,12.40112
receiver_finalizer_availability,0.98,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.98,False,1.0,0.0,0,0.5011939249325539,0.6147745298044921,0.006437739227085343,0.01698187258376406,0.012546418975601879,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
receiver_finalizer_availability,0.985,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,False,1.0,0.0,0,0.5258251909132202,0.6334301080305001,0.0242415229030339,0.06708843899218427,0.0031830658695000025,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
receiver_finalizer_availability,0.985,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,True,0.98,1.0,64,0.5101297053151069,0.6145226967656701,0.024241522903033903,0.06508589965744269,0.022090477134330034,0.0,0.0,0.19312563610000005,9.840788323368752,12.40112
receiver_finalizer_availability,0.985,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,True,0.98,1.0,64,0.498687955307891,0.6117006571554695,0.00643773922708534,0.01689696322084523,0.015620291624624357,0.0,0.0,0.06292060798771322,9.840207559298761,12.40112
receiver_finalizer_availability,0.985,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,False,1.0,0.0,0,0.5037510367944548,0.6179111345483926,0.006437739227085346,0.017068514790824094,0.009409814231701416,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
receiver_finalizer_availability,1.0,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,False,1.0,0.0,0,0.5258251909132202,0.6334301080305001,0.0242415229030339,0.06708843899218427,0.0031830658695000025,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
receiver_finalizer_availability,1.0,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,1.0,True,0.98,1.0,64,0.5178981779848801,0.623880910422,0.024241522903033913,0.06607705548978957,0.01273226347800001,0.0,0.0,0.19312563610000005,9.840788323368752,12.40112
receiver_finalizer_availability,1.0,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,True,0.98,1.0,64,0.498687955307891,0.6117006571554695,0.00643773922708534,0.01689696322084523,0.015620291624624357,0.0,0.0,0.06292060798771322,9.840207559298761,12.40112
receiver_finalizer_availability,1.0,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,1.0,False,1.0,0.0,0,0.511422372380157,0.6273209487800939,0.006437739227085344,0.017328441412004146,0.0,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
handoff_success,0.9,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,False,1.0,0.0,0,0.5258251909132202,0.6334301080305001,0.0242415229030339,0.06708843899218427,0.0031830658695000025,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
handoff_success,0.9,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,True,0.9,1.0,64,0.4684864640648941,0.56435757866235,0.024241522903033896,0.059772764991528976,0.07225559523765002,0.0,0.0,0.19312563610000005,9.840788323368752,12.40112
handoff_success,0.9,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,True,0.9,1.0,64,0.4579787344664309,0.5617659096325746,0.006437739227085341,0.015517619284449715,0.06555503914751985,0.0,0.0,0.06292060798771322,9.840207559298761,12.40112
handoff_success,0.9,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,False,1.0,0.0,0,0.5037510367944548,0.6179111345483926,0.006437739227085346,0.017068514790824094,0.009409814231701416,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
handoff_success,0.95,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,False,1.0,0.0,0,0.5258251909132202,0.6334301080305001,0.0242415229030339,0.06708843899218427,0.0031830658695000025,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
handoff_success,0.95,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,True,0.95,1.0,64,0.49451348984627697,0.5957107774769248,0.024241522903033906,0.06309347415772505,0.04090239642307503,0.0,0.0,0.19312563610000005,9.840788323368752,12.40112
handoff_success,0.95,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,True,0.95,1.0,64,0.48342199749234355,0.592975126834384,0.006437739227085341,0.016379709244696915,0.034345821945710175,0.0,0.0,0.06292060798771322,9.840207559298761,12.40112
handoff_success,0.95,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,False,1.0,0.0,0,0.5037510367944548,0.6179111345483926,0.006437739227085346,0.017068514790824094,0.009409814231701416,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
handoff_success,0.98,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,False,1.0,0.0,0,0.5258251909132202,0.6334301080305001,0.0242415229030339,0.06708843899218427,0.0031830658695000025,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
handoff_success,0.98,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,True,0.98,1.0,64,0.5101297053151069,0.6145226967656701,0.024241522903033903,0.06508589965744269,0.022090477134330034,0.0,0.0,0.19312563610000005,9.840788323368752,12.40112
