finalizer,interaction,parameter,metric,spearman_rank_correlation,absolute_rank_correlation,sample_count
sender,feedback,decision_deadline_ms,mean_safe_world_evidence_traffic_kib,-0.00032051282051282046,0.00032051282051282046,64
sender,feedback,visual_initial_age_ms,timely_safe_world_coverage,-0.09456375515080513,0.09456375515080513,64
sender,feedback,visual_initial_age_ms,mean_safe_world_evidence_traffic_kib,0.04331501831501831,0.04331501831501831,64
sender,feedback,radio_initial_age_ms,timely_safe_world_coverage,-0.08951055472982454,0.08951055472982454,64
sender,feedback,radio_initial_age_ms,mean_safe_world_evidence_traffic_kib,0.07110805860805859,0.07110805860805859,64
sender,feedback,record_ttl_ms,timely_safe_world_coverage,0.3011477759976211,0.3011477759976211,64
sender,feedback,record_ttl_ms,mean_safe_world_evidence_traffic_kib,-0.11785714285714284,0.11785714285714284,64
receiver,one_way,evidence_availability,timely_safe_world_coverage,0.47677092186975084,0.47677092186975084,64
receiver,one_way,evidence_availability,mean_safe_world_evidence_traffic_kib,0.6017399267399266,0.6017399267399266,64
receiver,one_way,conditional_validity,timely_safe_world_coverage,0.05081096985907685,0.05081096985907685,64
receiver,one_way,conditional_validity,mean_safe_world_evidence_traffic_kib,0.25434981684981683,0.25434981684981683,64
receiver,one_way,evidence_relation_error,timely_safe_world_coverage,-0.6647119483457953,0.6647119483457953,64
receiver,one_way,evidence_relation_error,mean_safe_world_evidence_traffic_kib,-0.025869963369963365,0.025869963369963365,64
receiver,one_way,endpoint_correlation,timely_safe_world_coverage,-0.22028777554773804,0.22028777554773804,64
receiver,one_way,endpoint_correlation,mean_safe_world_evidence_traffic_kib,-0.07875457875457874,0.07875457875457874,64
receiver,one_way,forward_delivery_success,timely_safe_world_coverage,0.16920190413847683,0.16920190413847683,64
receiver,one_way,forward_delivery_success,mean_safe_world_evidence_traffic_kib,0.16108058608058606,0.16108058608058606,64
receiver,one_way,reverse_delivery_success,timely_safe_world_coverage,0.11280126942565122,0.11280126942565122,64
receiver,one_way,reverse_delivery_success,mean_safe_world_evidence_traffic_kib,0.1883241758241758,0.1883241758241758,64
receiver,one_way,visual_record_kib,timely_safe_world_coverage,0.19417212828022334,0.19417212828022334,64
receiver,one_way,visual_record_kib,mean_safe_world_evidence_traffic_kib,0.9747252747252746,0.9747252747252746,64
receiver,one_way,radio_record_kib,timely_safe_world_coverage,0.01942637621302848,0.01942637621302848,64
receiver,one_way,radio_record_kib,mean_safe_world_evidence_traffic_kib,-0.11813186813186811,0.11813186813186811,64
receiver,one_way,link_rate_mbps,timely_safe_world_coverage,-0.18633743409996892,0.18633743409996892,64
