finalizer,interaction,sample_count,timely_safe_world_coverage_defined_sample_count,timely_safe_world_coverage_p05,timely_safe_world_coverage_p50,timely_safe_world_coverage_p95,mean_safe_world_evidence_traffic_kib_defined_sample_count,mean_safe_world_evidence_traffic_kib_p05,mean_safe_world_evidence_traffic_kib_p50,mean_safe_world_evidence_traffic_kib_p95,p95_action_ready_latency_ms_defined_sample_count,p95_action_ready_latency_ms_p05,p95_action_ready_latency_ms_p50,p95_action_ready_latency_ms_p95
sender,one_way,64,64,0.0,0.5754597316370409,0.7594693501256521,64,4.918922378597239,11.64507592506411,18.0845025668907,56,8.337102651339888,12.61516519212121,17.86852723634454
sender,feedback,64,64,0.0,0.5757769765177063,0.7338254715182955,64,4.654548727633304,10.707599507698912,16.437159367190173,52,9.382525250463203,15.139795397067225,21.35534047184874
receiver,one_way,64,64,0.0,0.5953704847946957,0.7347393469462892,64,4.918922378597239,11.64507592506411,18.0845025668907,57,8.382350623208662,12.374536174242424,17.847741896218487
receiver,feedback,64,64,0.0,0.5759241394128032,0.7347393469462892,64,1.540136861062337,3.167572973109147,5.293045569007324,53,9.37838151059809,14.698661217948718,20.49528698744264
