sample_id,evidence_availability,conditional_validity,evidence_relation_error,endpoint_correlation,forward_delivery_success,reverse_delivery_success,visual_record_kib,radio_record_kib,link_rate_mbps,fixed_per_message_latency_ms,processing_time_ms,decision_deadline_ms,visual_initial_age_ms,radio_initial_age_ms,record_ttl_ms,finalizer,interaction,sender_feedback_format,artifact_format,unconditional_coverage,timely_safe_world_coverage,selective_risk,false_safe_rate,harmful_acceptance_probability,expected_evidence_payload_bytes,expected_evidence_payload_kib,mean_safe_world_evidence_traffic_bytes,mean_safe_world_evidence_traffic_kib,p95_action_ready_latency_ms,local_reuse_probability,deadline_caused_abstention_probability,evidence_insufficient_abstention_probability,expired_evidence_abstention_probability,transport_abstention_probability,safe_world_reject_probability,safe_world_abstention_probability,finalization_failure_probability,unconstrained_safe_accept_probability,logical_message_count
0,0.886875,0.982890625,0.12734374999999998,0.1359375,0.998828125,0.994140625,19.125,0.62890625,145.3125,0.36796875000000007,14.453125,43.1640625,16.234375,9.1171875,38.28125,sender,one_way,reference_manifest,reference_manifest,0.4834680766449637,0.5779794277217014,0.031656154624710775,0.08055126415991821,0.01530474019038449,17632.77031699221,17.219502262687705,17632.77031699216,17.219502262687655,15.93472127688172,0.0,0.0,0.21165334138274203,0.0,0.0006781143070649861,0.20968911658849,0.21233145568980702,0.0,0.5779794277217014,1
0,0.886875,0.982890625,0.12734374999999998,0.1359375,0.998828125,0.994140625,19.125,0.62890625,145.3125,0.36796875000000007,14.453125,43.1640625,16.234375,9.1171875,38.28125,sender,feedback,reference_manifest,reference_manifest,0.4736254093422061,0.5782708819646816,0.011034025725247875,0.02750523658322604,0.005225994950812957,15391.547296300208,15.030807906543172,16118.312707050838,15.740539752979334,16.30269002688172,0.12274157932429992,0.0,0.046948751772881624,0.0,0.000678456255727067,0.37410191000670673,0.04762720802860871,0.0,0.5782708819646816,2
0,0.886875,0.982890625,0.12734374999999998,0.1359375,0.998828125,0.994140625,19.125,0.62890625,145.3125,0.36796875000000007,14.453125,43.1640625,16.234375,9.1171875,38.28125,receiver,one_way,reference_manifest,reference_manifest,0.4735673975506378,0.5782725997696501,0.01090993967055712,0.027192588090632575,0.005166591737220199,17632.77031699221,17.219502262687705,17632.77031699216,17.219502262687655,15.93472127688172,0.5708683191232249,0.0,0.04617214859986852,0.0,0.0006781143070649861,0.374877137323413,0.04685026290693352,0.0,0.5782725997696501,1
0,0.886875,0.982890625,0.12734374999999998,0.1359375,0.998828125,0.994140625,19.125,0.62890625,145.3125,0.36796875000000007,14.453125,43.1640625,16.234375,9.1171875,38.28125,receiver,feedback,reference_manifest,reference_manifest,0.4735673975506378,0.5782725997696501,0.01090993967055712,0.027192588090632575,0.005166591737220199,6953.117455763376,6.790153765393922,5794.499457891721,5.658690876847384,16.267235403225808,0.5708683191232249,0.0,0.04617214859986852,0.0,0.0006781143070649861,0.374877137323413,0.04685026290693352,0.0,0.5782725997696501,2
1,0.879375,0.973046875,0.09296874999999999,0.3328125,0.988515625,0.985703125,12.375,1.56640625,54.6875,3.7367187500000005,11.328125,31.0546875,21.921875,16.0234375,40.15625,sender,one_way,reference_manifest,reference_manifest,0.4933611665607383,0.5954479337732259,0.022394020756532355,0.05814915897067464,0.01104834020442819,12215.589114257804,11.929286244392387,12215.589114257875,11.929286244392456,17.153218607142858,0.0,0.0,0.24486089511770423,0.0,0.006917793903790728,0.15277337720528503,0.2517786890214949,0.0,0.5954479337732259,1
1,0.879375,0.973046875,0.09296874999999999,0.3328125,0.988515625,0.985703125,12.375,1.56640625,54.6875,3.7367187500000005,11.328125,31.0546875,21.921875,16.0234375,40.15625,sender,feedback,reference_manifest,reference_manifest,0.0,0.0,0.0,0.0,0.0,10685.193308270469,10.43475909010788,11289.515077002108,11.024917067384871,,0.0,0.0,0.04722450806165256,0.8013337408710839,0.0,0.15144175106726815,0.8485582489327345,0.0,0.0,2
1,0.879375,0.973046875,0.09296874999999999,0.3328125,0.988515625,0.985703125,12.375,1.56640625,54.6875,3.7367187500000005,11.328125,31.0546875,21.921875,16.0234375,40.15625,receiver,one_way,reference_manifest,reference_manifest,0.5071510639238823,0.6220343116104118,0.0065133877347980755,0.017385639576061093,0.0033032715194516097,12215.589114257804,11.929286244392387,12215.589114257875,11.929286244392456,17.153218607142858,0.61543651478429,0.0,0.09081130343312066,0.0,0.006917793903790728,0.2802365910526831,0.09772909733691137,0.0,0.6220343116104118,1
1,0.879375,0.973046875,0.09296874999999999,0.3328125,0.988515625,0.985703125,12.375,1.56640625,54.6875,3.7367187500000005,11.328125,31.0546875,21.921875,16.0234375,40.15625,receiver,feedback,reference_manifest,reference_manifest,0.0,0.0,0.0,0.0,0.0,4229.219555941291,4.130097222598917,3352.191511521381,3.2736245229700986,,0.0,0.0,0.04698020605504483,0.8013729170834268,0.0,0.151646876861533,0.8483531231384701,0.0,0.0,2
2,0.811875,0.988984375,0.13359375,0.3984375,0.988046875,0.997421875,17.625,1.49609375,64.0625,0.29140625,9.609375,32.6171875,19.296875,16.8203125,35.78125,sender,one_way,reference_manifest,reference_manifest,0.40069878453009594,0.4781651266942808,0.03340422388209847,0.07044753635646361,0.013385031907728058,15721.402479492212,15.352932108879113,15721.402479492188,15.35293210887909,12.345893445121952,0.0,0.0,0.3130229849613442,0.0,0.005784712926719775,0.20302717541765516,0.318807697888064,0.0,0.4781651266942808,1
2,0.811875,0.988984375,0.13359375,0.3984375,0.988046875,0.997421875,17.625,1.49609375,64.0625,0.29140625,9.609375,32.6171875,19.296875,16.8203125,35.78125,sender,feedback,reference_manifest,reference_manifest,0.39666594526363436,0.48368282304063065,0.012309749952136316,0.025699255793279686,0.0048828586007231296,13273.189779179274,12.96209939372976,13787.275726968115,13.4641364521173,12.637299695121952,0.11073431940353363,0.0,0.14773856262550158,0.0,0.005851464531131216,0.36272714980273585,0.15359002715663284,0.0,0.48368282304063065,2
