parameter,value,finalizer,interaction,sender_feedback_format,artifact_format,unconditional_coverage,timely_safe_world_coverage,selective_risk,false_safe_rate,harmful_acceptance_probability,expected_evidence_payload_bytes,expected_evidence_payload_kib,mean_safe_world_evidence_traffic_bytes,mean_safe_world_evidence_traffic_kib,p95_action_ready_latency_ms,local_reuse_probability,deadline_caused_abstention_probability,evidence_insufficient_abstention_probability,expired_evidence_abstention_probability,transport_abstention_probability,safe_world_reject_probability,safe_world_abstention_probability,finalization_failure_probability,unconstrained_safe_accept_probability,logical_message_count
evidence_availability,0.5,sender,one_way,reference_manifest,reference_manifest,0.16310726190000005,0.19648554750000055,0.024241522903033906,0.02081036013157891,0.003953968425000001,5575.679999999995,5.444999999999995,5575.680000000019,5.445000000000019,11.40112,0.0,0.0,0.7049800000000022,0.0,0.0019847025000000063,0.0965497500000003,0.7069647025000022,0.0,0.19648554750000055,1
evidence_availability,0.5,sender,feedback,reference_manifest,reference_manifest,0.28015453581844296,0.3405768261021649,0.015303363421067417,0.022564771977316173,0.004287306675690081,5324.826055298211,5.200025444627159,5542.954144417912,5.413041156658117,11.90112,0.16741848873145473,0.0,0.4741737796931654,0.0,0.003440169960627932,0.18180922424404442,0.47761394965379333,0.0,0.3405768261021649,2
evidence_availability,0.5,receiver,one_way,reference_manifest,reference_manifest,0.2813368315145889,0.3420322935627928,0.015251020300571136,0.022582493309091307,0.004290673728727356,5575.679999999995,5.444999999999995,5575.680000000019,5.445000000000019,11.40112,0.3134728122249998,0.0,0.47417377969316543,0.0,0.0019847025000000063,0.18180922424404447,0.4761584821931655,0.0,0.3420322935627928,1
evidence_availability,0.5,receiver,feedback,reference_manifest,reference_manifest,0.2813368315145889,0.3420322935627928,0.015251020300571136,0.022582493309091307,0.004290673728727356,3082.399689600004,3.010155946875004,2809.16349120001,2.7433237218750097,11.90112,0.3134728122249998,0.0,0.47417377969316543,0.0,0.0019847025000000063,0.18180922424404447,0.4761584821931655,0.0,0.3420322935627928,2
evidence_availability,0.75,sender,one_way,reference_manifest,reference_manifest,0.36699133927500005,0.4420924818749999,0.024241522903033892,0.04682331029605252,0.008896428956249995,8363.52000000001,8.16750000000001,8363.519999999991,8.167499999999992,11.40112,0.0,0.0,0.41045499999999996,0.0,0.004465580625000003,0.1429869374999997,0.4149205806249997,0.0,0.4420924818749999,1
evidence_availability,0.75,sender,feedback,reference_manifest,reference_manifest,0.4491752781917756,0.5487281631466909,0.010475790346027794,0.024765610752398647,0.004705466042955751,7667.654186307236,7.48794354131566,8071.257279149191,7.882087186669132,11.90112,0.17421427426589,0.0,0.18220572960528753,0.0,0.00554270871865345,0.2635233985293678,0.1877484383239409,0.0,0.5487281631466909,2
evidence_availability,0.75,receiver,one_way,reference_manifest,reference_manifest,0.4500054189889148,0.5498052912403445,0.010362393178981869,0.024542805706503155,0.004663133084235608,8363.52000000001,8.16750000000001,8363.519999999991,8.167499999999992,11.40112,0.5328867918822148,0.0,0.18220572960528755,0.0,0.0044655806250000025,0.26352339852936774,0.1866713102302875,0.0,0.5498052912403445,1
evidence_availability,0.75,receiver,feedback,reference_manifest,reference_manifest,0.4500054189889148,0.5498052912403445,0.010362393178981869,0.024542805706503155,0.004663133084235608,3501.623394720005,3.4195540964062547,2968.8128078399955,2.8992312576562456,11.8192,0.5328867918822148,0.0,0.18220572960528755,0.0,0.0044655806250000025,0.26352339852936774,0.1866713102302875,0.0,0.5498052912403445,2
evidence_availability,0.9,sender,one_way,reference_manifest,reference_manifest,0.5284675285560001,0.6366131739000039,0.024241522903033896,0.06742556682631531,0.012810857696999996,10036.224000000031,9.80100000000003,10036.224000000064,9.801000000000062,11.40112,0.0,0.0,0.18669520000000106,0.0,0.0064304361000000485,0.17026119000000103,0.19312563610000125,0.0,0.6366131739000039,1
evidence_availability,0.9,sender,feedback,reference_manifest,reference_manifest,0.5115928239419154,0.6274138710312969,0.006621649577619159,0.01782941266614713,0.003387588406567977,8654.465501386492,8.451626466197746,9130.639697910585,8.916640329990805,11.90112,0.10094520341855498,0.0,0.056490171887713596,0.0,0.006337513848800988,0.3097584432321961,0.06282768573651457,0.0,0.6274138710312969,2
evidence_availability,0.9,receiver,one_way,reference_manifest,reference_manifest,0.511422372380157,0.6273209487800978,0.006437739227085344,0.017328441412004014,0.0032924038682807847,10036.224000000031,9.80100000000003,10036.224000000064,9.801000000000062,11.40112,0.6228022286834323,0.0,0.056490171887713575,0.0,0.006430436100000047,0.3097584432321959,0.06292060798771361,0.0,0.6273209487800978,1
evidence_availability,0.9,receiver,feedback,reference_manifest,reference_manifest,0.511422372380157,0.6273209487800978,0.006437739227085344,0.017328441412004014,0.0032924038682807847,3394.125253094383,3.3145754424749834,2666.224020556808,2.6037343950750076,11.8192,0.6228022286834323,0.0,0.056490171887713575,0.0,0.006430436100000047,0.3097584432321959,0.06292060798771361,0.0,0.6273209487800978,2
evidence_availability,1.0,sender,one_way,reference_manifest,reference_manifest,0.6524290476000002,0.785942189999999,0.024241522903033903,0.08324144052631591,0.0158158737,11151.359999999991,10.889999999999992,11151.359999999991,10.889999999999992,11.40112,0.0,0.0,0.01791999999999999,0.0,0.007938809999999998,0.18819899999999962,0.02585881,0.0,0.785942189999999,1
evidence_availability,1.0,sender,feedback,reference_manifest,reference_manifest,0.5312679297494484,0.6536066508843194,0.0034757274620729854,0.009718644911309589,0.0018465425331488192,9070.681342399392,8.858087248436906,9565.026154574838,9.34084585407699,11.90112,0.01409885975797199,0.0,0.0003399266980000003,0.0,0.006602087382669897,0.33945133503500924,0.006942014080669899,0.0,0.6536066508843194,2
evidence_availability,1.0,receiver,one_way,reference_manifest,reference_manifest,0.5300440800741901,0.6522699282669892,0.0032175402802147894,0.008975990410147907,0.0017054381779280999,11151.359999999991,10.889999999999992,11151.359999999991,10.889999999999992,11.40112,0.6521913340479891,0.0,0.00033992669800000014,0.0,0.007938809999999998,0.33945133503500924,0.008278736698000002,0.0,0.6522699282669892,1
evidence_availability,1.0,receiver,feedback,reference_manifest,reference_manifest,0.5300440800741901,0.6522699282669892,0.0032175402802147894,0.008975990410147907,0.0017054381779280999,3172.8630067199947,3.098499029999995,2298.5071718399963,2.2446359099999964,11.0,0.6521913340479891,0.0,0.00033992669800000014,0.0,0.007938809999999998,0.33945133503500924,0.008278736698000002,0.0,0.6522699282669892,2
conditional_validity,0.9,sender,one_way,reference_manifest,reference_manifest,0.4367500236000002,0.5261265900000012,0.0242415229030339,0.055723608947368636,0.010587485700000001,9123.839999999962,8.909999999999963,9123.839999999993,8.909999999999993,11.40112,0.0,0.0,0.31311999999999995,0.0,0.005314410000000016,0.15543900000000047,0.31843441000000006,0.0,0.5261265900000012,1
